名称,分类
石竹,草部
南天竺草,草部
王不留行,草部
禁宫花,草部
剪金花,草部
金盏银台,草部
葶苈,草部
丁苈,草部
大室,草部
大适,草部
狗荠,草部
车前,草部
当道,草部
浮以,草部
马昔,草部
牛遗,草部
牛舌,草部
车轮草,草部
地衣,草部
蛤蟆衣,草部
马鞭草,草部
龙牙草,草部
凤颈草,草部
蛇含,草部
蛇衔,草部
威蛇,草部
小龙牙,草部
紫背龙牙,草部
鳢肠,草部
莲子草,草部
早莲草,草部
墨烟草,草部
墨头草,草部
墨菜,草部
猢狲,草部
猪牙草,草部
连翘,草部
异翘,草部
旱莲子,草部
兰华,草部
三廉，,草部
根名连轺、竹根,草部
蒴翟,草部
朔吊,草部
接骨草,草部
蓝,草部
蓝淀,草部
靛,草部
青黛,草部
靛花,草部
青蛤粉,草部
甘蓝,草部
蓝菜,草部
蓼,草部
水蓼,草部
虞蓼,草部
泽蓼,草部
马蓼,草部
大蓼,草部
墨记草,草部
荭草,草部
游龙,草部
石龙,草部
天蓼,草部
大蓼,草部
虎杖,草部
苦杖,草部
大虫杖,草部
斑杖,草部
酸杖,草部
匾蓄,草部
扁竹,草部
扁辨,草部
扁蔓,草部
粉节草,草部
道生草,草部
蒺藜,草部
名茨,草部
旁通,草部
屈人,草部
止行,草部
休羽,草部
升推,草部
谷精草,草部
戴星草,草部
文星草,草部
流星草,草部
海金沙,草部
竹园荽,草部
半边莲,草部
紫花地丁,草部
箭头草,草部
独行虎,草部
羊角子,草部
米布袋,草部
见肿消,草部
大黄,草部
黄良,草部
将军,草部
火参,草部
肤如,草部
商陆,草部
逐汤,草部
当陆,草部
章柳,草部
白昌,草部
马尾,草部
夜呼,草部
狼毒,草部
防葵,草部
房苑,草部
梨盖,草部
利茹,草部
狼牙,草部
牙子,草部
狼齿,草部
狼子,草部
犬牙,草部
抱牙,草部
支兰,草部
闾茹,草部
离娄,草部
掘据,草部
白色者名草闾茹,草部
大戟,草部
邛巨,草部
下马仙,草部
泽漆,草部
漆茎,草部
猫儿眼睛草,草部
绿叶绿花草,草部
五凤草,草部
甘遂,草部
白泽,草部
主田,草部
鬼丑,草部
陵泽,草部
甘泽,草部
重泽,草部
苦泽,草部
续随子,草部
千金子,草部
千两金,草部
菩萨豆,草部
拒冬,草部
联步,草部
莨菪,草部
天仙子,草部
横唐,草部
行唐,草部
蓖麻,草部
蜀漆,草部
蜀漆是常山的苗，功用是相同,草部
藜芦,草部
山葱,草部
葱苒,草部
葱炎,草部
葱葵,草部
丰芦,草部
憨葱,草部
鹿葱,草部
附子,草部
其母名曰乌头,草部
天雄,草部
白幕,草部
侧子,草部
漏篮子,草部
木鳖子,草部
虎掌,草部
乌头,草部
乌喙,草部
草乌头,草部
土附子,草部
奚毒,草部
耿子,草部
毒公,草部
金鸦,草部
苗名：莨、芨、堇、独白草、鸳鸯菊,草部
汁煎名射,草部
白附子,草部
虎掌,草部
虎膏,草部
鬼,草部
局箬,草部
鬼芋,草部
鬼头,草部
半夏,草部
守田,草部
水玉,草部
地文,草部
和姑,草部
蚤休,草部
蚩休,草部
螫休,草部
紫河车,草部
重台,草部
重楼金线,草部
三层草,草部
七叶一枝花,草部
草甘遂,草部
白甘遂,草部
鬼臼,草部
九说,草部
天说,草部
鬼药,草部
解毒,草部
爵犀,草部
马目毒公,草部
害母草,草部
羞天花,草部
术律草,草部
枸田草,草部
独脚莲,草部
独荷草,草部
山荷叶,草部
旱荷,草部
八角盘,草部
唐婆镜,草部
